,time,S,I,R,M
0,0.00000,500.00000,5.00000,0.00000,0.00000
1,0.05000,499.74596,5.16510,0.06353,0.02541
2,0.10000,499.48367,5.33552,0.12915,0.05166
3,0.15000,499.21287,5.51142,0.19694,0.07877
4,0.20000,498.93330,5.69295,0.26696,0.10678
5,0.25000,498.64470,5.88030,0.33929,0.13571
6,0.30000,498.34677,6.07364,0.41399,0.16560
7,0.35000,498.03925,6.27314,0.49115,0.19646
8,0.40000,497.72182,6.47899,0.57085,0.22834
9,0.45000,497.39420,6.69139,0.65315,0.26126
10,0.50000,497.05607,6.91051,0.73816,0.29526
11,0.55000,496.70711,7.13657,0.82595,0.33038
12,0.60000,496.34700,7.36976,0.91660,0.36664
13,0.65000,495.97540,7.61029,1.01022,0.40409
14,0.70000,495.59198,7.85837,1.10689,0.44276
15,0.75000,495.19638,8.11423,1.20671,0.48268
16,0.80000,494.78823,8.37808,1.30978,0.52391
17,0.85000,494.36718,8.65015,1.41620,0.56648
18,0.90000,493.93283,8.93067,1.52607,0.61043
19,0.95000,493.48482,9.21988,1.63950,0.65580
20,1.00000,493.02273,9.51803,1.75660,0.70264
21,1.05000,492.54616,9.82536,1.87749,0.75100
22,1.10000,492.05470,10.14212,2.00228,0.80091
23,1.15000,491.54792,10.46856,2.13108,0.85243
24,1.20000,491.02539,10.80496,2.26403,0.90561
25,1.25000,490.48667,11.15158,2.40125,0.96050
26,1.30000,489.93130,11.50869,2.54287,1.01715
27,1.35000,489.35882,11.87656,2.68901,1.07560
28,1.40000,488.76876,12.25548,2.83983,1.13593
29,1.45000,488.16064,12.64574,2.99545,1.19818
30,1.50000,487.53396,13.04761,3.15602,1.26241
31,1.55000,486.88824,13.46140,3.32169,1.32867
32,1.60000,486.22295,13.88740,3.49260,1.39704
33,1.65000,485.53759,14.32592,3.66892,1.46757
34,1.70000,484.83162,14.77725,3.85080,1.54032
35,1.75000,484.10451,15.24171,4.03841,1.61536
36,1.80000,483.35572,15.71961,4.23190,1.69276
37,1.85000,482.58470,16.21126,4.43146,1.77258
38,1.90000,481.79087,16.71698,4.63724,1.85490
39,1.95000,480.97369,17.23709,4.84944,1.93978
40,2.00000,480.13256,17.77191,5.06823,2.02729
41,2.05000,479.26692,18.32176,5.29380,2.11752
42,2.10000,478.37616,18.88696,5.52634,2.21054
43,2.15000,477.45970,19.46784,5.76604,2.30642
44,2.20000,476.51694,20.06472,6.01310,2.40524
45,2.25000,475.54727,20.67792,6.26773,2.50709
46,2.30000,474.55007,21.30776,6.53012,2.61205
47,2.35000,473.52474,21.95457,6.80049,2.72020
48,2.40000,472.47066,22.61866,7.07906,2.83162
49,2.45000,471.38720,23.30035,7.36603,2.94641
50,2.50000,470.27375,23.99995,7.66164,3.06466
51,2.55000,469.12969,24.71776,7.96611,3.18644
52,2.60000,467.95438,25.45410,8.27966,3.31186
53,2.65000,466.74721,26.20924,8.60254,3.44101
54,2.70000,465.50755,26.98349,8.93497,3.57399
55,2.75000,464.23480,27.77711,9.27721,3.71088
56,2.80000,462.92833,28.59040,9.62948,3.85179
57,2.85000,461.58754,29.42360,9.99205,3.99682
58,2.90000,460.21182,30.27697,10.36516,4.14606
59,2.95000,458.80058,31.15074,10.74906,4.29962
60,3.00000,457.35323,32.04516,11.14401,4.45760
61,3.05000,455.86919,32.96042,11.55027,4.62011
62,3.10000,454.34791,33.89674,11.96811,4.78724
63,3.15000,452.78883,34.85428,12.39778,4.95911
64,3.20000,451.19141,35.83321,12.83955,5.13582
65,3.25000,449.55513,36.83369,13.29370,5.31748
66,3.30000,447.87949,37.85583,13.76049,5.50419
67,3.35000,446.16400,38.89973,14.24019,5.69607
68,3.40000,444.40821,39.96549,14.73307,5.89323
69,3.45000,442.61166,41.05316,15.23942,6.09577
70,3.50000,440.77395,42.16276,15.75949,6.30380
71,3.55000,438.89469,43.29431,16.29358,6.51743
72,3.60000,436.97351,44.44777,16.84194,6.73678
73,3.65000,435.01008,45.62311,17.40486,6.96194
74,3.70000,433.00411,46.82023,17.98261,7.19304
75,3.75000,430.95533,48.03903,18.57546,7.43018
76,3.80000,428.86351,49.27935,19.18367,7.67347
77,3.85000,426.72845,50.54101,19.80753,7.92301
78,3.90000,424.55000,51.82379,20.44729,8.17892
79,3.95000,422.32806,53.12744,21.10321,8.44128
80,4.00000,420.06255,54.45167,21.77556,8.71022
81,4.05000,417.75344,55.79614,22.46459,8.98584
82,4.10000,415.40076,57.16048,23.17055,9.26822
83,4.15000,413.00457,58.54428,23.89368,9.55747
84,4.20000,410.56499,59.94708,24.63423,9.85369
85,4.25000,408.08220,61.36839,25.39243,10.15697
86,4.30000,405.55641,62.80767,26.16852,10.46741
87,4.35000,402.98789,64.26433,26.96270,10.78508
88,4.40000,400.37697,65.73775,27.77520,11.11008
89,4.45000,397.72405,67.22726,28.60621,11.44248
90,4.50000,395.02955,68.73213,29.45594,11.78238
91,4.55000,392.29398,70.25162,30.32457,12.12983
92,4.60000,389.51789,71.78491,31.21229,12.48492
93,4.65000,386.70189,73.33116,32.11925,12.84770
94,4.70000,383.84666,74.88947,33.04562,13.21825
95,4.75000,380.95293,76.45892,33.99153,13.59661
96,4.80000,378.02149,78.03853,34.95713,13.98285
97,4.85000,375.05318,79.62728,35.94254,14.37701
98,4.90000,372.04890,81.22411,36.94785,14.77914
99,4.95000,369.00964,82.82793,37.97317,15.18927
100,5.00000,365.93639,84.43761,39.01857,15.60743
101,5.05000,362.83025,86.05198,40.08413,16.03365
102,5.10000,359.69233,87.66983,41.16989,16.46795
103,5.15000,356.52382,89.28995,42.27588,16.91035
104,5.20000,353.32595,90.91106,43.40214,17.36086
105,5.25000,350.10000,92.53188,44.54866,17.81946
106,5.30000,346.84732,94.15108,45.71543,18.28617
107,5.35000,343.56926,95.76735,46.90242,18.76097
108,5.40000,340.26725,97.37932,48.10959,19.24384
109,5.45000,336.94275,98.98561,49.33688,19.73475
110,5.50000,333.59726,100.58485,50.58420,20.23368
111,5.55000,330.23230,102.17564,51.85147,20.74059
112,5.60000,326.84945,103.75658,53.13855,21.25542
113,5.65000,323.45028,105.32625,54.44534,21.77813
114,5.70000,320.03643,106.88325,55.77166,22.30866
115,5.75000,316.60953,108.42617,57.11736,22.84694
116,5.80000,313.17123,109.95362,58.48225,23.39290
117,5.85000,309.72323,111.46420,59.86613,23.94645
118,5.90000,306.26719,112.95652,61.26878,24.50751
119,5.95000,302.80482,114.42924,62.68996,25.07598
120,6.00000,299.33781,115.88100,64.12942,25.65177
121,6.05000,295.86787,117.31048,65.58689,26.23476
122,6.10000,292.39669,118.71639,67.06208,26.82483
123,6.15000,288.92598,120.09745,68.55470,27.42188
124,6.20000,285.45740,121.45242,70.06441,28.02576
125,6.25000,281.99263,122.78012,71.59089,28.63636
126,6.30000,278.53333,124.07936,73.13380,29.25352
127,6.35000,275.08113,125.34902,74.69276,29.87710
128,6.40000,271.63763,126.58802,76.26739,30.50696
129,6.45000,268.20444,127.79531,77.85732,31.14293
130,6.50000,264.78309,128.96991,79.46214,31.78486
131,6.55000,261.37513,130.11087,81.08143,32.43257
132,6.60000,257.98204,131.21729,82.71477,33.08591
133,6.65000,254.60527,132.28833,84.36172,33.74469
134,6.70000,251.24624,133.32320,86.02183,34.40873
135,6.75000,247.90633,134.32117,87.69464,35.07786
136,6.80000,244.58686,135.28156,89.37970,35.75188
137,6.85000,241.28913,136.20374,91.07652,36.43061
138,6.90000,238.01437,137.08715,92.78463,37.11385
139,6.95000,234.76378,137.93127,94.50354,37.80141
140,7.00000,231.53849,138.73566,96.23275,38.49310
141,7.05000,228.33960,139.49993,97.97176,39.18870
142,7.10000,225.16816,140.22374,99.72008,39.88803
143,7.15000,222.02514,140.90680,101.47718,40.59087
144,7.20000,218.91149,141.54890,103.24258,41.29703
145,7.25000,215.82809,142.14988,105.01574,42.00629
146,7.30000,212.77577,142.70962,106.79615,42.71846
147,7.35000,209.75531,143.22806,108.58330,43.43332
148,7.40000,206.76743,143.70521,110.37668,44.15067
149,7.45000,203.81281,144.14112,112.17576,44.87031
150,7.50000,200.89207,144.53588,113.98004,45.59201
151,7.55000,198.00577,144.88964,115.78899,46.31560
152,7.60000,195.15444,145.20261,117.60211,47.04084
153,7.65000,192.33853,145.47503,119.41889,47.76755
154,7.70000,189.55848,145.70718,121.23882,48.49553
155,7.75000,186.81464,145.89940,123.06140,49.22456
156,7.80000,184.10735,146.05206,124.88614,49.95445
157,7.85000,181.43688,146.16557,126.71254,50.68501
158,7.90000,178.80345,146.24039,128.54011,51.41605
159,7.95000,176.20727,146.27698,130.36839,52.14735
160,8.00000,173.64848,146.27588,132.19688,52.87875
161,8.05000,171.12719,146.23763,134.02513,53.61005
162,8.10000,168.64345,146.16281,135.85267,54.34107
163,8.15000,166.19731,146.05202,137.67905,55.07162
164,8.20000,163.78875,145.90589,139.50382,55.80153
165,8.25000,161.41774,145.72508,141.32655,56.53062
166,8.30000,159.08420,145.51027,143.14681,57.25872
167,8.35000,156.78803,145.26214,144.96417,57.98567
168,8.40000,154.52908,144.98140,146.77823,58.71129
169,8.45000,152.30720,144.66880,148.58857,59.43543
170,8.50000,150.12219,144.32507,150.39482,60.15793
171,8.55000,147.97384,143.95096,152.19657,60.87863
172,8.60000,145.86191,143.54723,153.99347,61.59739
173,8.65000,143.78614,143.11468,155.78513,62.31405
174,8.70000,141.74623,142.65406,157.57122,63.02849
175,8.75000,139.74190,142.16618,159.35137,63.74055
176,8.80000,137.77281,141.65183,161.12526,64.45010
177,8.85000,135.83863,141.11179,162.89256,65.15702
178,8.90000,133.93900,140.54687,164.65295,65.86118
179,8.95000,132.07356,139.95786,166.40613,66.56245
180,9.00000,130.24193,139.34555,168.15180,67.26072
181,9.05000,128.44370,138.71075,169.88968,67.95587
182,9.10000,126.67848,138.05424,171.61948,68.64779
183,9.15000,124.94586,137.37681,173.34095,69.33638
184,9.20000,123.24541,136.67925,175.05382,70.02153
185,9.25000,121.57670,135.96232,176.75785,70.70314
186,9.30000,119.93929,135.22679,178.45280,71.38112
187,9.35000,118.33275,134.47343,180.13844,72.05538
188,9.40000,116.75662,133.70299,181.81456,72.72582
189,9.45000,115.21046,132.91622,183.48095,73.39238
190,9.50000,113.69380,132.11384,185.13740,74.05496
191,9.55000,112.20620,131.29658,186.78373,74.71349
192,9.60000,110.74719,130.46515,188.41976,75.36790
193,9.65000,109.31632,129.62026,190.04530,76.01812
194,9.70000,107.91312,128.76259,191.66021,76.66408
195,9.75000,106.53713,127.89283,193.26432,77.30573
196,9.80000,105.18790,127.01163,194.85748,77.94299
197,9.85000,103.86496,126.11965,196.43956,78.57583
198,9.90000,102.56786,125.21753,198.01043,79.20417
199,9.95000,101.29615,124.30590,199.56996,79.82799
200,10.00000,100.04937,123.38537,201.11804,80.44722
201,10.05000,98.82707,122.45654,202.65456,81.06183
202,10.10000,97.62882,121.51999,204.17942,81.67177
203,10.15000,96.45416,120.57630,205.69253,82.27701
204,10.20000,95.30265,119.62602,207.19380,82.87752
205,10.25000,94.17388,118.66970,208.68316,83.47326
206,10.30000,93.06739,117.70787,210.16052,84.06421
207,10.35000,91.98278,116.74105,211.62583,84.65033
208,10.40000,90.91962,115.76973,213.07903,85.23161
209,10.45000,89.87750,114.79442,214.52006,85.80802
210,10.50000,88.85600,113.81557,215.94888,86.37955
211,10.55000,87.85472,112.83366,217.36544,86.94618
212,10.60000,86.87327,111.84914,218.76971,87.50788
213,10.65000,85.91125,110.86243,220.16166,88.06466
214,10.70000,84.96828,109.87395,221.54126,88.61650
215,10.75000,84.04397,108.88413,222.90850,89.16340
216,10.80000,83.13794,107.89335,224.26336,89.70534
217,10.85000,82.24984,106.90200,225.60583,90.24233
218,10.90000,81.37929,105.91044,226.93591,90.77436
219,10.95000,80.52594,104.91903,228.25359,91.30144
220,11.00000,79.68943,103.92812,229.55889,91.82355
221,11.05000,78.86943,102.93805,230.85180,92.34072
222,11.10000,78.06559,101.94913,232.13234,92.85294
223,11.15000,77.27758,100.96168,233.40053,93.36021
224,11.20000,76.50507,99.97598,234.65639,93.86256
225,11.25000,75.74774,98.99234,235.89994,94.35998
226,11.30000,75.00527,98.01103,237.13121,94.85248
227,11.35000,74.27737,97.03231,238.35023,95.34009
228,11.40000,73.56371,96.05645,239.55703,95.82281
229,11.45000,72.86401,95.08367,240.75165,96.30066
230,11.50000,72.17798,94.11423,241.93414,96.77365
231,11.55000,71.50532,93.14834,243.10452,97.24181
232,11.60000,70.84577,92.18623,244.26286,97.70514
233,11.65000,70.19903,91.22809,245.40920,98.16368
234,11.70000,69.56485,90.27413,246.54358,98.61743
235,11.75000,68.94296,89.32454,247.66607,99.06643
236,11.80000,68.33311,88.37949,248.77671,99.51069
237,11.85000,67.73503,87.43916,249.87557,99.95023
238,11.90000,67.14849,86.50372,250.96271,100.38508
239,11.95000,66.57323,85.57330,252.03819,100.81528
240,12.00000,66.00903,84.64808,253.10207,101.24083
241,12.05000,65.45565,83.72817,254.15441,101.66176
242,12.10000,64.91286,82.81373,255.19529,102.07812
243,12.15000,64.38044,81.90487,256.22478,102.48991
244,12.20000,63.85817,81.00171,257.24294,102.89718
245,12.25000,63.34585,80.10437,258.24985,103.29994
246,12.30000,62.84325,79.21295,259.24557,103.69823
247,12.35000,62.35018,78.32755,260.23019,104.09208
248,12.40000,61.86644,77.44826,261.20379,104.48151
249,12.45000,61.39182,76.57518,262.16643,104.86657
250,12.50000,60.92616,75.70838,263.11819,105.24728
251,12.55000,60.46924,74.84793,264.05916,105.62367
252,12.60000,60.02090,73.99392,264.98942,105.99577
253,12.65000,59.58094,73.14640,265.90904,106.36362
254,12.70000,59.14921,72.30544,266.81811,106.72724
255,12.75000,58.72553,71.47109,267.71670,107.08668
256,12.80000,58.30972,70.64340,268.60491,107.44196
257,12.85000,57.90163,69.82243,269.48281,107.79313
258,12.90000,57.50110,69.00820,270.35050,108.14020
259,12.95000,57.10797,68.20076,271.20805,108.48322
260,13.00000,56.72209,67.40015,272.05555,108.82222
261,13.05000,56.34331,66.60638,272.89308,109.15723
262,13.10000,55.97148,65.81949,273.72073,109.48829
263,13.15000,55.60646,65.03951,274.53860,109.81544
264,13.20000,55.24811,64.26644,275.34675,110.13870
265,13.25000,54.89629,63.50031,276.14529,110.45811
266,13.30000,54.55088,62.74112,276.93429,110.77372
267,13.35000,54.21173,61.98889,277.71384,111.08554
268,13.40000,53.87873,61.24362,278.48404,111.39362
269,13.45000,53.55175,60.50531,279.24496,111.69799
270,13.50000,53.23066,59.77396,279.99670,111.99868
271,13.55000,52.91535,59.04958,280.73934,112.29574
272,13.60000,52.60569,58.33215,281.47297,112.58919
273,13.65000,52.30159,57.62167,282.19767,112.87907
274,13.70000,52.00292,56.91813,282.91354,113.16542
275,13.75000,51.70957,56.22151,283.62066,113.44826
276,13.80000,51.42144,55.53181,284.31911,113.72764
277,13.85000,51.13843,54.84900,285.00898,114.00359
278,13.90000,50.86043,54.17307,285.69036,114.27614
279,13.95000,50.58734,53.50399,286.36333,114.54533
280,14.00000,50.31907,52.84174,287.02799,114.81120
281,14.05000,50.05552,52.18631,287.68441,115.07376
282,14.10000,49.79660,51.53766,288.33267,115.33307
283,14.15000,49.54221,50.89576,288.97288,115.58915
284,14.20000,49.29227,50.26059,289.60510,115.84204
285,14.25000,49.04669,49.63212,290.22942,116.09177
286,14.30000,48.80539,49.01032,290.84593,116.33837
287,14.35000,48.56827,48.39514,291.45470,116.58188
288,14.40000,48.33527,47.78657,292.05583,116.82233
289,14.45000,48.10629,47.18456,292.64940,117.05976
290,14.50000,47.88127,46.58907,293.23547,117.29419
291,14.55000,47.66012,46.00007,293.81415,117.52566
292,14.60000,47.44277,45.41753,294.38550,117.75420
293,14.65000,47.22915,44.84139,294.94961,117.97985
294,14.70000,47.01918,44.27163,295.50656,118.20263
295,14.75000,46.81280,43.70820,296.05643,118.42257
296,14.80000,46.60994,43.15105,296.59930,118.63972
297,14.85000,46.41052,42.60015,297.13523,118.85409
298,14.90000,46.21450,42.05545,297.66433,119.06573
299,14.95000,46.02179,41.51691,298.18665,119.27466
300,15.00000,45.83234,40.98448,298.70227,119.48091
301,15.05000,45.64608,40.45812,299.21128,119.68451
302,15.10000,45.46297,39.93778,299.71375,119.88550
303,15.15000,45.28293,39.42342,300.20975,120.08390
304,15.20000,45.10591,38.91499,300.69936,120.27974
305,15.25000,44.93185,38.41244,301.18265,120.47306
306,15.30000,44.76070,37.91572,301.65970,120.66388
307,15.35000,44.59240,37.42480,302.13057,120.85223
308,15.40000,44.42691,36.93961,302.59534,121.03814
309,15.45000,44.26417,36.46012,303.05408,121.22163
310,15.50000,44.10412,35.98627,303.50687,121.40275
311,15.55000,43.94672,35.51801,303.95376,121.58151
312,15.60000,43.79192,35.05530,304.39484,121.75794
313,15.65000,43.63968,34.59809,304.83017,121.93207
314,15.70000,43.48994,34.14632,305.25982,122.10393
315,15.75000,43.34266,33.69995,305.68385,122.27354
316,15.80000,43.19779,33.25894,306.10234,122.44093
317,15.85000,43.05530,32.82322,306.51534,122.60614
318,15.90000,42.91514,32.39275,306.92294,122.76918
319,15.95000,42.77726,31.96748,307.32518,122.93007
320,16.00000,42.64163,31.54737,307.72215,123.08886
321,16.05000,42.50820,31.13235,308.11389,123.24556
322,16.10000,42.37694,30.72239,308.50048,123.40019
323,16.15000,42.24780,30.31744,308.88197,123.55279
324,16.20000,42.12076,29.91744,309.25843,123.70337
325,16.25000,41.99576,29.52234,309.62993,123.85197
326,16.30000,41.87278,29.13210,309.99651,123.99861
327,16.35000,41.75178,28.74667,310.35825,124.14330
328,16.40000,41.63272,28.36600,310.71520,124.28608
329,16.45000,41.51558,27.99003,311.06742,124.42697
330,16.50000,41.40031,27.61873,311.41497,124.56599
331,16.55000,41.28688,27.25205,311.75791,124.70316
332,16.60000,41.17527,26.88993,312.09629,124.83852
333,16.65000,41.06543,26.53232,312.43017,124.97207
334,16.70000,40.95735,26.17919,312.75962,125.10385
335,16.75000,40.85098,25.83048,313.08467,125.23387
