,time,S,I,R,M
667,33.35000,33.92612,0.24989,336.30285,134.52114
668,33.40000,33.92528,0.24639,336.30595,134.52238
669,33.45000,33.92445,0.24293,336.30901,134.52360
670,33.50000,33.92363,0.23953,336.31203,134.52481
671,33.55000,33.92283,0.23618,336.31500,134.52600
672,33.60000,33.92203,0.23287,336.31793,134.52717
673,33.65000,33.92125,0.22961,336.32082,134.52833
674,33.70000,33.92047,0.22639,336.32367,134.52947
675,33.75000,33.91971,0.22322,336.32648,134.53059
676,33.80000,33.91896,0.22009,336.32925,134.53170
677,33.85000,33.91822,0.21701,336.33198,134.53279
678,33.90000,33.91749,0.21397,336.33468,134.53387
679,33.95000,33.91677,0.21097,336.33733,134.53493
680,34.00000,33.91605,0.20801,336.33995,134.53598
681,34.05000,33.91535,0.20510,336.34253,134.53701
682,34.10000,33.91466,0.20223,336.34508,134.53803
683,34.15000,33.91398,0.19939,336.34759,134.53904
684,34.20000,33.91331,0.19660,336.35006,134.54003
685,34.25000,33.91265,0.19385,336.35250,134.54100
686,34.30000,33.91200,0.19113,336.35491,134.54196
687,34.35000,33.91135,0.18845,336.35728,134.54291
688,34.40000,33.91072,0.18581,336.35962,134.54385
689,34.45000,33.91009,0.18321,336.36193,134.54477
690,34.50000,33.90948,0.18064,336.36420,134.54568
691,34.55000,33.90887,0.17811,336.36644,134.54658
692,34.60000,33.90827,0.17562,336.36865,134.54746
693,34.65000,33.90768,0.17316,336.37083,134.54833
694,34.70000,33.90709,0.17073,336.37298,134.54919
695,34.75000,33.90652,0.16834,336.37510,134.55004
696,34.80000,33.90595,0.16598,336.37719,134.55088
697,34.85000,33.90539,0.16365,336.37925,134.55170
698,34.90000,33.90484,0.16136,336.38128,134.55251
699,34.95000,33.90430,0.15910,336.38329,134.55331
700,35.00000,33.90376,0.15687,336.38526,134.55410
701,35.05000,33.90323,0.15467,336.38721,134.55488
702,35.10000,33.90271,0.15251,336.38913,134.55565
703,35.15000,33.90220,0.15037,336.39102,134.55641
704,35.20000,33.90169,0.14826,336.39289,134.55716
705,35.25000,33.90120,0.14619,336.39473,134.55789
706,35.30000,33.90070,0.14414,336.39654,134.55862
707,35.35000,33.90022,0.14212,336.39833,134.55933
708,35.40000,33.89974,0.14013,336.40010,134.56004
709,35.45000,33.89927,0.13816,336.40183,134.56073
710,35.50000,33.89880,0.13623,336.40355,134.56142
711,35.55000,33.89834,0.13432,336.40524,134.56210
712,35.60000,33.89789,0.13244,336.40691,134.56276
713,35.65000,33.89745,0.13058,336.40855,134.56342
714,35.70000,33.89701,0.12875,336.41017,134.56407
715,35.75000,33.89657,0.12695,336.41177,134.56471
716,35.80000,33.89615,0.12517,336.41335,134.56534
717,35.85000,33.89572,0.12342,336.41490,134.56596
718,35.90000,33.89531,0.12169,336.41643,134.56657
719,35.95000,33.89490,0.11998,336.41794,134.56718
720,36.00000,33.89450,0.11830,336.41943,134.56777
721,36.05000,33.89410,0.11664,336.42090,134.56836
722,36.10000,33.89371,0.11501,336.42235,134.56894
723,36.15000,33.89332,0.11340,336.42378,134.56951
724,36.20000,33.89294,0.11181,336.42518,134.57007
725,36.25000,33.89256,0.11024,336.42657,134.57063
726,36.30000,33.89219,0.10870,336.42794,134.57118
727,36.35000,33.89182,0.10717,336.42929,134.57172
728,36.40000,33.89146,0.10567,336.43062,134.57225
729,36.45000,33.89111,0.10419,336.43193,134.57277
730,36.50000,33.89076,0.10273,336.43322,134.57329
731,36.55000,33.89041,0.10129,336.43450,134.57380
732,36.60000,33.89007,0.09987,336.43576,134.57430
733,36.65000,33.88973,0.09847,336.43699,134.57480
734,36.70000,33.88940,0.09709,336.43822,134.57529
735,36.75000,33.88908,0.09573,336.43942,134.57577
736,36.80000,33.88875,0.09439,336.44061,134.57624
737,36.85000,33.88844,0.09307,336.44178,134.57671
738,36.90000,33.88812,0.09176,336.44294,134.57717
739,36.95000,33.88781,0.09048,336.44408,134.57763
740,37.00000,33.88751,0.08921,336.44520,134.57808
741,37.05000,33.88721,0.08796,336.44631,134.57852
742,37.10000,33.88691,0.08673,336.44740,134.57896
743,37.15000,33.88662,0.08551,336.44848,134.57939
744,37.20000,33.88633,0.08431,336.44954,134.57981
745,37.25000,33.88605,0.08313,336.45058,134.58023
746,37.30000,33.88577,0.08197,336.45161,134.58065
747,37.35000,33.88549,0.08082,336.45263,134.58105
748,37.40000,33.88522,0.07969,336.45364,134.58145
749,37.45000,33.88495,0.07857,336.45462,134.58185
750,37.50000,33.88469,0.07747,336.45560,134.58224
751,37.55000,33.88443,0.07638,336.45656,134.58262
752,37.60000,33.88417,0.07531,336.45751,134.58300
753,37.65000,33.88392,0.07426,336.45844,134.58338
754,37.70000,33.88367,0.07322,336.45937,134.58375
755,37.75000,33.88342,0.07219,336.46027,134.58411
756,37.80000,33.88318,0.07118,336.46117,134.58447
757,37.85000,33.88294,0.07018,336.46205,134.58482
758,37.90000,33.88270,0.06920,336.46293,134.58517
759,37.95000,33.88247,0.06823,336.46378,134.58551
760,38.00000,33.88224,0.06727,336.46463,134.58585
761,38.05000,33.88202,0.06633,336.46547,134.58619
762,38.10000,33.88179,0.06540,336.46629,134.58652
763,38.15000,33.88157,0.06449,336.46710,134.58684
764,38.20000,33.88136,0.06358,336.46790,134.58716
765,38.25000,33.88114,0.06269,336.46869,134.58748
766,38.30000,33.88093,0.06181,336.46947,134.58779
767,38.35000,33.88072,0.06095,336.47024,134.58809
768,38.40000,33.88052,0.06009,336.47099,134.58840
769,38.45000,33.88032,0.05925,336.47174,134.58870
770,38.50000,33.88012,0.05842,336.47247,134.58899
771,38.55000,33.87992,0.05760,336.47320,134.58928
772,38.60000,33.87973,0.05679,336.47391,134.58957
773,38.65000,33.87954,0.05600,336.47462,134.58985
774,38.70000,33.87935,0.05521,336.47531,134.59013
775,38.75000,33.87916,0.05444,336.47600,134.59040
776,38.80000,33.87898,0.05368,336.47668,134.59067
777,38.85000,33.87880,0.05292,336.47734,134.59094
778,38.90000,33.87862,0.05218,336.47800,134.59120
779,38.95000,33.87844,0.05145,336.47865,134.59146
780,39.00000,33.87827,0.05073,336.47928,134.59171
781,39.05000,33.87810,0.05002,336.47991,134.59197
782,39.10000,33.87793,0.04932,336.48054,134.59221
783,39.15000,33.87777,0.04863,336.48115,134.59246
784,39.20000,33.87760,0.04795,336.48175,134.59270
785,39.25000,33.87744,0.04727,336.48235,134.59294
786,39.30000,33.87728,0.04661,336.48293,134.59317
787,39.35000,33.87712,0.04596,336.48351,134.59340
788,39.40000,33.87697,0.04531,336.48408,134.59363
789,39.45000,33.87682,0.04468,336.48464,134.59386
790,39.50000,33.87667,0.04405,336.48520,134.59408
791,39.55000,33.87652,0.04344,336.48575,134.59430
792,39.60000,33.87637,0.04283,336.48628,134.59451
793,39.65000,33.87623,0.04223,336.48682,134.59473
794,39.70000,33.87609,0.04164,336.48734,134.59494
795,39.75000,33.87595,0.04105,336.48786,134.59514
796,39.80000,33.87581,0.04048,336.48837,134.59535
797,39.85000,33.87567,0.03991,336.48887,134.59555
798,39.90000,33.87554,0.03935,336.48936,134.59575
799,39.95000,33.87541,0.03880,336.48985,134.59594
800,40.00000,33.87528,0.03826,336.49033,134.59613
801,40.05000,33.87515,0.03772,336.49081,134.59632
802,40.10000,33.87502,0.03719,336.49128,134.59651
803,40.15000,33.87490,0.03667,336.49174,134.59670
804,40.20000,33.87477,0.03616,336.49219,134.59688
805,40.25000,33.87465,0.03565,336.49264,134.59706
806,40.30000,33.87453,0.03515,336.49309,134.59723
807,40.35000,33.87441,0.03466,336.49352,134.59741
808,40.40000,33.87430,0.03417,336.49395,134.59758
809,40.45000,33.87418,0.03369,336.49438,134.59775
810,40.50000,33.87407,0.03322,336.49479,134.59792
811,40.55000,33.87396,0.03275,336.49521,134.59808
812,40.60000,33.87385,0.03230,336.49561,134.59825
813,40.65000,33.87374,0.03184,336.49601,134.59841
814,40.70000,33.87363,0.03140,336.49641,134.59856
815,40.75000,33.87352,0.03096,336.49680,134.59872
816,40.80000,33.87342,0.03052,336.49718,134.59887
817,40.85000,33.87332,0.03010,336.49756,134.59902
818,40.90000,33.87322,0.02967,336.49794,134.59917
819,40.95000,33.87312,0.02926,336.49830,134.59932
820,41.00000,33.87302,0.02885,336.49867,134.59947
821,41.05000,33.87292,0.02844,336.49903,134.59961
822,41.10000,33.87282,0.02804,336.49938,134.59975
823,41.15000,33.87273,0.02765,336.49973,134.59989
824,41.20000,33.87264,0.02726,336.50007,134.60003
825,41.25000,33.87255,0.02688,336.50041,134.60016
826,41.30000,33.87246,0.02651,336.50074,134.60030
827,41.35000,33.87237,0.02613,336.50107,134.60043
828,41.40000,33.87228,0.02577,336.50140,134.60056
829,41.45000,33.87219,0.02541,336.50172,134.60069
830,41.50000,33.87211,0.02505,336.50203,134.60081
831,41.55000,33.87202,0.02470,336.50234,134.60094
832,41.60000,33.87194,0.02435,336.50265,134.60106
833,41.65000,33.87186,0.02401,336.50295,134.60118
834,41.70000,33.87178,0.02368,336.50325,134.60130
835,41.75000,33.87170,0.02334,336.50354,134.60142
836,41.80000,33.87162,0.02302,336.50383,134.60153
837,41.85000,33.87154,0.02269,336.50412,134.60165
838,41.90000,33.87146,0.02238,336.50440,134.60176
839,41.95000,33.87139,0.02206,336.50468,134.60187
840,42.00000,33.87131,0.02175,336.50495,134.60198
841,42.05000,33.87124,0.02145,336.50522,134.60209
842,42.10000,33.87117,0.02115,336.50549,134.60219
843,42.15000,33.87110,0.02085,336.50575,134.60230
844,42.20000,33.87103,0.02056,336.50601,134.60240
845,42.25000,33.87096,0.02027,336.50626,134.60251
846,42.30000,33.87089,0.01999,336.50652,134.60261
847,42.35000,33.87082,0.01971,336.50676,134.60271
848,42.40000,33.87076,0.01943,336.50701,134.60280
849,42.45000,33.87069,0.01916,336.50725,134.60290
850,42.50000,33.87063,0.01889,336.50749,134.60299
851,42.55000,33.87056,0.01863,336.50772,134.60309
852,42.60000,33.87050,0.01836,336.50795,134.60318
853,42.65000,33.87044,0.01811,336.50818,134.60327
854,42.70000,33.87038,0.01785,336.50841,134.60336
855,42.75000,33.87032,0.01760,336.50863,134.60345
856,42.80000,33.87026,0.01736,336.50885,134.60354
857,42.85000,33.87020,0.01711,336.50906,134.60362
858,42.90000,33.87014,0.01687,336.50927,134.60371
859,42.95000,33.87009,0.01664,336.50948,134.60379
860,43.00000,33.87003,0.01640,336.50969,134.60388
861,43.05000,33.86998,0.01617,336.50989,134.60396
862,43.10000,33.86992,0.01595,336.51009,134.60404
863,43.15000,33.86987,0.01572,336.51029,134.60412
864,43.20000,33.86982,0.01550,336.51049,134.60419
865,43.25000,33.86976,0.01529,336.51068,134.60427
866,43.30000,33.86971,0.01507,336.51087,134.60435
867,43.35000,33.86966,0.01486,336.51106,134.60442
868,43.40000,33.86961,0.01465,336.51124,134.60450
869,43.45000,33.86956,0.01445,336.51142,134.60457
870,43.50000,33.86951,0.01424,336.51160,134.60464
871,43.55000,33.86947,0.01405,336.51178,134.60471
872,43.60000,33.86942,0.01385,336.51195,134.60478
873,43.65000,33.86937,0.01365,336.51212,134.60485
874,43.70000,33.86933,0.01346,336.51229,134.60492
875,43.75000,33.86928,0.01327,336.51246,134.60498
876,43.80000,33.86924,0.01309,336.51263,134.60505
877,43.85000,33.86919,0.01290,336.51279,134.60512
878,43.90000,33.86915,0.01272,336.51295,134.60518
879,43.95000,33.86911,0.01255,336.51311,134.60524
880,44.00000,33.86906,0.01237,336.51326,134.60530
881,44.05000,33.86902,0.01220,336.51342,134.60537
882,44.10000,33.86898,0.01203,336.51357,134.60543
883,44.15000,33.86894,0.01186,336.51372,134.60549
884,44.20000,33.86890,0.01169,336.51386,134.60555
885,44.25000,33.86886,0.01153,336.51401,134.60560
886,44.30000,33.86882,0.01137,336.51415,134.60566
887,44.35000,33.86878,0.01121,336.51429,134.60572
888,44.40000,33.86875,0.01105,336.51443,134.60577
889,44.45000,33.86871,0.01089,336.51457,134.60583
890,44.50000,33.86867,0.01074,336.51470,134.60588
891,44.55000,33.86864,0.01059,336.51484,134.60594
892,44.60000,33.86860,0.01044,336.51497,134.60599
893,44.65000,33.86857,0.01030,336.51510,134.60604
894,44.70000,33.86853,0.01015,336.51523,134.60609
895,44.75000,33.86850,0.01001,336.51535,134.60614
896,44.80000,33.86846,0.00987,336.51548,134.60619
897,44.85000,33.86843,0.00973,336.51560,134.60624
898,44.90000,33.86840,0.00959,336.51572,134.60629
899,44.95000,33.86836,0.00946,336.51584,134.60634
900,45.00000,33.86833,0.00933,336.51596,134.60638
901,45.05000,33.86830,0.00920,336.51607,134.60643
902,45.10000,33.86827,0.00907,336.51619,134.60647
903,45.15000,33.86824,0.00894,336.51630,134.60652
904,45.20000,33.86821,0.00882,336.51641,134.60656
905,45.25000,33.86818,0.00869,336.51652,134.60661
906,45.30000,33.86815,0.00857,336.51663,134.60665
907,45.35000,33.86812,0.00845,336.51673,134.60669
908,45.40000,33.86809,0.00833,336.51684,134.60674
909,45.45000,33.86807,0.00822,336.51694,134.60678
910,45.50000,33.86804,0.00810,336.51704,134.60682
911,45.55000,33.86801,0.00799,336.51714,134.60686
912,45.60000,33.86798,0.00787,336.51724,134.60690
913,45.65000,33.86796,0.00776,336.51734,134.60694
914,45.70000,33.86793,0.00766,336.51744,134.60698
915,45.75000,33.86791,0.00755,336.51753,134.60701
916,45.80000,33.86788,0.00744,336.51763,134.60705
917,45.85000,33.86786,0.00734,336.51772,134.60709
918,45.90000,33.86783,0.00724,336.51781,134.60712
919,45.95000,33.86781,0.00713,336.51790,134.60716
920,46.00000,33.86778,0.00703,336.51799,134.60720
921,46.05000,33.86776,0.00694,336.51808,134.60723
922,46.10000,33.86774,0.00684,336.51816,134.60726
923,46.15000,33.86771,0.00674,336.51825,134.60730
924,46.20000,33.86769,0.00665,336.51833,134.60733
925,46.25000,33.86767,0.00655,336.51841,134.60737
926,46.30000,33.86765,0.00646,336.51849,134.60740
927,46.35000,33.86762,0.00637,336.51857,134.60743
928,46.40000,33.86760,0.00628,336.51865,134.60746
929,46.45000,33.86758,0.00619,336.51873,134.60749
930,46.50000,33.86756,0.00611,336.51881,134.60752
931,46.55000,33.86754,0.00602,336.51888,134.60755
932,46.60000,33.86752,0.00594,336.51896,134.60758
933,46.65000,33.86750,0.00585,336.51903,134.60761
934,46.70000,33.86748,0.00577,336.51911,134.60764
935,46.75000,33.86746,0.00569,336.51918,134.60767
936,46.80000,33.86744,0.00561,336.51925,134.60770
937,46.85000,33.86742,0.00553,336.51932,134.60773
938,46.90000,33.86740,0.00546,336.51939,134.60775
939,46.95000,33.86739,0.00538,336.51945,134.60778
940,47.00000,33.86737,0.00530,336.51952,134.60781
941,47.05000,33.86735,0.00523,336.51959,134.60783
942,47.10000,33.86733,0.00516,336.51965,134.60786
943,47.15000,33.86731,0.00508,336.51972,134.60789
944,47.20000,33.86730,0.00501,336.51978,134.60791
945,47.25000,33.86728,0.00494,336.51984,134.60794
946,47.30000,33.86726,0.00487,336.51990,134.60796
947,47.35000,33.86725,0.00481,336.51996,134.60798
948,47.40000,33.86723,0.00474,336.52002,134.60801
949,47.45000,33.86722,0.00467,336.52008,134.60803
950,47.50000,33.86720,0.00461,336.52014,134.60806
951,47.55000,33.86718,0.00454,336.52020,134.60808
952,47.60000,33.86717,0.00448,336.52025,134.60810
953,47.65000,33.86715,0.00441,336.52031,134.60812
954,47.70000,33.86714,0.00435,336.52036,134.60815
955,47.75000,33.86712,0.00429,336.52042,134.60817
956,47.80000,33.86711,0.00423,336.52047,134.60819
957,47.85000,33.86710,0.00417,336.52052,134.60821
958,47.90000,33.86708,0.00411,336.52057,134.60823
959,47.95000,33.86707,0.00406,336.52063,134.60825
960,48.00000,33.86705,0.00400,336.52068,134.60827
961,48.05000,33.86704,0.00394,336.52073,134.60829
962,48.10000,33.86703,0.00389,336.52077,134.60831
963,48.15000,33.86701,0.00383,336.52082,134.60833
964,48.20000,33.86700,0.00378,336.52087,134.60835
965,48.25000,33.86699,0.00373,336.52092,134.60837
966,48.30000,33.86698,0.00367,336.52096,134.60839
967,48.35000,33.86696,0.00362,336.52101,134.60840
968,48.40000,33.86695,0.00357,336.52105,134.60842
969,48.45000,33.86694,0.00352,336.52110,134.60844
970,48.50000,33.86693,0.00347,336.52114,134.60846
971,48.55000,33.86692,0.00342,336.52119,134.60847
972,48.60000,33.86690,0.00338,336.52123,134.60849
973,48.65000,33.86689,0.00333,336.52127,134.60851
974,48.70000,33.86688,0.00328,336.52131,134.60852
975,48.75000,33.86687,0.00324,336.52135,134.60854
976,48.80000,33.86686,0.00319,336.52139,134.60856
977,48.85000,33.86685,0.00315,336.52143,134.60857
978,48.90000,33.86684,0.00310,336.52147,134.60859
979,48.95000,33.86683,0.00306,336.52151,134.60860
980,49.00000,33.86682,0.00302,336.52155,134.60862
981,49.05000,33.86681,0.00297,336.52158,134.60863
982,49.10000,33.86680,0.00293,336.52162,134.60865
983,49.15000,33.86679,0.00289,336.52166,134.60866
984,49.20000,33.86678,0.00285,336.52169,134.60868
985,49.25000,33.86677,0.00281,336.52173,134.60869
986,49.30000,33.86676,0.00277,336.52176,134.60871
987,49.35000,33.86675,0.00273,336.52180,134.60872
988,49.40000,33.86674,0.00269,336.52183,134.60873
989,49.45000,33.86673,0.00266,336.52187,134.60875
990,49.50000,33.86672,0.00262,336.52190,134.60876
991,49.55000,33.86671,0.00258,336.52193,134.60877
992,49.60000,33.86671,0.00255,336.52196,134.60879
993,49.65000,33.86670,0.00251,336.52199,134.60880
994,49.70000,33.86669,0.00248,336.52203,134.60881
995,49.75000,33.86668,0.00244,336.52206,134.60882
996,49.80000,33.86667,0.00241,336.52209,134.60883
997,49.85000,33.86666,0.00237,336.52212,134.60885
998,49.90000,33.86666,0.00234,336.52215,134.60886
999,49.95000,33.86665,0.00231,336.52218,134.60887
1000,50.00000,33.86664,0.00227,336.52220,134.60888
