Ano_Semana,Casos,I
1,203,203
2,181,384
3,140,524
4,254,778
5,111,889
6,73,962
7,88,1050
8,74,1124
9,78,1202
10,126,1328
11,147,1475
12,203,1678
13,263,1941
14,251,2192
15,248,2440
16,247,2687
17,281,2968
18,231,3199
19,291,3490
20,321,3811
21,413,4224
22,304,4528
23,338,4866
24,284,5150
25,339,5489
26,232,5721
27,185,5906
28,131,6037
29,103,6140
30,123,6263
31,95,6358
32,96,6454
33,111,6565
34,188,6753
35,140,6893
36,96,6989
37,90,7079
38,122,7201
39,94,7295
40,99,7394
41,96,7490
42,122,7612
43,133,7745
44,91,7836
45,85,7921
46,63,7984
47,87,8071
48,64,8135
49,46,8181
50,19,8200
51,42,8242
52,43,8285
53,39,8324